date,time,fuel_type,mw,fuel_percentage_of_total,is_renewable
10/24/2025,4:00:00 AM,Coal,12015,0.151,FALSE
10/24/2025,4:00:00 AM,Gas,37400,0.47,FALSE
10/24/2025,4:00:00 AM,Hydro,281,0.003,TRUE
10/24/2025,4:00:00 AM,Multiple Fuels,1074,0.013,FALSE
10/24/2025,4:00:00 AM,Nuclear,26097,0.328,FALSE
10/24/2025,4:00:00 AM,Oil,171,0.002,FALSE
10/24/2025,4:00:00 AM,Other Renewables,509,0.006,TRUE
10/24/2025,4:00:00 AM,Solar,8,0,TRUE
10/24/2025,4:00:00 AM,Storage,0,0,FALSE
10/24/2025,4:00:00 AM,Wind,2012,0.025,TRUE
10/24/2025,3:00:00 AM,Coal,12543,0.152,FALSE
10/24/2025,3:00:00 AM,Gas,38920,0.474,FALSE
10/24/2025,3:00:00 AM,Hydro,689,0.008,TRUE
10/24/2025,3:00:00 AM,Multiple Fuels,1140,0.013,FALSE
10/24/2025,3:00:00 AM,Nuclear,26105,0.317,FALSE
10/24/2025,3:00:00 AM,Oil,170,0.002,FALSE
10/24/2025,3:00:00 AM,Other Renewables,500,0.006,TRUE
10/24/2025,3:00:00 AM,Solar,8,0,TRUE
10/24/2025,3:00:00 AM,Storage,0,0,FALSE
10/24/2025,3:00:00 AM,Wind,2035,0.024,TRUE
10/24/2025,2:00:00 AM,Coal,12322,0.146,FALSE
10/24/2025,2:00:00 AM,Gas,40612,0.482,FALSE
10/24/2025,2:00:00 AM,Hydro,1134,0.013,TRUE
10/24/2025,2:00:00 AM,Multiple Fuels,1119,0.013,FALSE
10/24/2025,2:00:00 AM,Nuclear,26102,0.31,FALSE
10/24/2025,2:00:00 AM,Oil,239,0.002,FALSE
10/24/2025,2:00:00 AM,Other Renewables,501,0.006,TRUE
10/24/2025,2:00:00 AM,Solar,8,0,TRUE
10/24/2025,2:00:00 AM,Storage,0,0,FALSE
10/24/2025,2:00:00 AM,Wind,2091,0.024,TRUE
10/24/2025,1:00:00 AM,Coal,12423,0.142,FALSE
10/24/2025,1:00:00 AM,Gas,41801,0.477,FALSE
10/24/2025,1:00:00 AM,Hydro,1988,0.022,TRUE
10/24/2025,1:00:00 AM,Multiple Fuels,1272,0.014,FALSE
10/24/2025,1:00:00 AM,Nuclear,26096,0.298,FALSE
10/24/2025,1:00:00 AM,Oil,1107,0.012,FALSE
10/24/2025,1:00:00 AM,Other Renewables,494,0.005,TRUE
10/24/2025,1:00:00 AM,Solar,8,0,TRUE
10/24/2025,1:00:00 AM,Storage,9,0,FALSE
10/24/2025,1:00:00 AM,Wind,2297,0.026,TRUE
10/24/2025,12:00:00 AM,Coal,12389,0.138,FALSE
10/24/2025,12:00:00 AM,Gas,42397,0.474,FALSE
10/24/2025,12:00:00 AM,Hydro,2782,0.031,TRUE
10/24/2025,12:00:00 AM,Multiple Fuels,1267,0.014,FALSE
10/24/2025,12:00:00 AM,Nuclear,26094,0.292,FALSE
10/24/2025,12:00:00 AM,Oil,1398,0.015,FALSE
10/24/2025,12:00:00 AM,Other Renewables,504,0.005,TRUE
10/24/2025,12:00:00 AM,Solar,14,0,TRUE
10/24/2025,12:00:00 AM,Storage,19,0,FALSE
10/24/2025,12:00:00 AM,Wind,2430,0.027,TRUE
10/23/2025,11:00:00 PM,Coal,11959,0.133,FALSE
10/23/2025,11:00:00 PM,Gas,42062,0.47,FALSE
10/23/2025,11:00:00 PM,Hydro,3189,0.035,TRUE
10/23/2025,11:00:00 PM,Multiple Fuels,1241,0.013,FALSE
10/23/2025,11:00:00 PM,Nuclear,26069,0.291,FALSE
